genotype,plate,gompertz_mu_max,gompertz_doubling_time,gompertz_carrying_capacity,gompertz_lag_time,gompertz_r2
b3679,Plate 37 Trial 3,0.96463631,0.718558044,1.777394422,0.203801729,0.990362313
b3697,Plate 37 Trial 3,0.629856384,1.100484489,1.804100918,0.3894253,0.9963558
b3710,Plate 37 Trial 3,0.683933494,1.013471613,1.788883503,0.177817274,0.994145609
b3712,Plate 37 Trial 3,0.679150213,1.020609531,1.797178702,0.314056627,0.994764573
b3713,Plate 37 Trial 3,0.711420941,0.974313716,1.828419706,0.219506971,0.986419485
b3714,Plate 37 Trial 3,0.691480618,1.002410136,1.812796986,0.163419243,0.994168834
b3715,Plate 37 Trial 3,0.735328813,0.942635686,1.91847566,0.366601906,0.995018095
b3716,Plate 37 Trial 3,0.667301106,1.038732252,1.685451532,0.073657681,0.990619758
b3717,Plate 37 Trial 3,0.914117581,0.758269171,1.834471087,0.158542127,0.9933433
b3754,Plate 37 Trial 3,0.668725974,1.036519003,1.555105486,0.168805021,0.986329777
b3764,Plate 37 Trial 3,0.660669336,1.049159002,1.657897488,0.040144937,0.990932169
b3765,Plate 37 Trial 3,0.713111433,0.972004022,1.685646039,0.074329783,0.991209879
b3790,Plate 37 Trial 3,-1.25E-12,-5.55E+11,1.86E-24,0.998679762,0
b3807,Plate 37 Trial 3,0.65296467,1.061538568,1.837473605,0.110127249,0.988491111
b3810,Plate 37 Trial 3,0.74023611,0.936386609,1.937387223,0.293107223,0.994591884
b3812,Plate 37 Trial 3,0.716458002,0.967463799,1.783669796,0.167005685,0.993687091
b3817,Plate 37 Trial 3,0.794972768,0.871913113,2.20782996,3.206712933,0.999024153
b3832,Plate 37 Trial 3,0.66807704,1.037525823,1.571985562,0.099431409,0.989023483
b3858,Plate 37 Trial 3,0.64913905,1.067794613,1.796133787,0.096808325,0.994362003
b3862,Plate 37 Trial 3,0.69783918,0.993276389,1.657330335,0.050397457,0.990191443
b3866,Plate 37 Trial 3,0.643821064,1.076614636,1.8621262,0.254286661,0.985960921
b3872,Plate 37 Trial 3,0.652285775,1.06264341,1.749454321,0.189351817,0.990880803
b3873,Plate 37 Trial 3,-0.20394447,-3.398705439,-0.162084107,1.519653884,0.410398981
b3874,Plate 37 Trial 3,0.740362666,0.936226544,1.74542743,0.153966524,0.993043867
