CommonName,bID,GenBankID,OMV.Trial1,OMV.Trial2,OMV.Trial3,OMV.Trial4,OMV.Trial5,average.log.OMV,antilog.OMV.Trial1,antilog.OMV.Trial2,antilog.OMV.Trial3,antilog.OMV.Trial4,antilog.OMV.Trial5,average.antilog.omv,stdev.antilog
ynhG,b1678,946174,-0.447470211,-0.322137974,NA,NA,NA,-0.384804093,0.356886228,0.47627965,,,,0.416582939,0.084423899
sufE,b1679,946173,0.414973348,0.158205208,NA,NA,NA,0.286589278,2.6,1.439478584,,,,2.019739292,0.820612563
sufS,b1680,946185,-0.179454144,0.048660197,NA,NA,NA,-0.065396974,0.661524382,1.118562349,,,,0.890043366,0.323174646
sufD,b1681,944878,-0.031684862,0.010578375,NA,NA,NA,-0.010553244,0.929640719,1.024656678,,,,0.977148699,0.067186429
sufB,b1683,945753,-0.096873254,0.003447214,NA,NA,NA,-0.04671302,0.800067715,1.007969089,,,,0.904018402,0.147008471
sufA,b1684,949014,-0.104398034,0.247382187,NA,NA,NA,0.071492077,0.786324787,1.76759265,,,,1.276958719,0.69386116
ydiH,b1685,946194,0.267459674,-0.048640691,NA,NA,NA,0.109409492,1.851226992,0.894044857,,,,1.372635924,0.676829979
ydiI,b1686,946190,0.021931683,0.006725041,NA,NA,NA,0.014328362,1.051796407,1.015605493,,,,1.03370095,0.025590841
ydiJ,b1687,946189,0.156800164,0.09857114,NA,NA,NA,0.127685652,1.43482906,1.254790263,,,,1.344809662,0.127306654
ydiK,b1688,946183,0.418608883,0.309619536,NA,NA,NA,0.36411421,2.621856288,2.039950062,,,,2.330903175,0.411469839
ydiM,b1690,946196,0.142523911,0.139433884,NA,NA,NA,0.140978898,1.388429751,1.378586064,,,,1.383507907,0.006960538
ydiN,b1691,946198,0.038727576,0.042160597,NA,NA,NA,0.040444087,1.093270365,1.101946721,,,,1.097608543,0.00613511
ydiB,b1692,946200,-0.044790052,-0.202698396,NA,NA,NA,-0.123744224,0.902007083,0.62704918,,,,0.764528131,0.194424598
aroD,b1693,946210,-0.316269962,-0.10358113,NA,NA,NA,-0.209925546,0.482758621,0.787805249,,,,0.635281935,0.215700539
ydiF,b1694,946211,0.189280054,0.057908351,0.2025349,-0.040288058,0.049637024,0.091814454,1.546251215,1.142637179,1.594170983,0.911406123,1.121081082,1.263109317,0.295021971
ydiO,b1695,945626,0.261332357,-0.040149928,NA,NA,NA,0.110591215,1.825292028,0.911696048,,,,1.368494038,0.646009913
ydiP,b1696,945095,-0.420027539,-0.057991947,NA,NA,NA,-0.239009743,0.380165289,0.875,,,,0.627582644,0.34990098
ydiQ,b1697,946482,0.609964752,-0.034208943,0.416167093,NA,NA,0.330640967,4.073472155,0.9242534,2.60715645,,,2.534960668,1.575850204
ydiR,b1698,945688,0.044083907,-0.02738447,NA,NA,NA,0.008349719,1.106837608,0.938891765,,,,1.022864686,0.118755644
